Fish#,Species,HatchDate,Source,ArrivalDate,f_status,Mort_date,TankID,Treat_group,Tag_date,Days_to_mort,ReasonMort,TagID_hex,ShedTag?,Mass_mort,FL_mort,Sex,ReproStatusNotes,IncNotes,TagPlaceNotes,GenAppNotes,OtherNotes,Photos?,PhotoFolder
83,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/17/23,6,VT,12/13/23,4,natural,0010,no,4.32,76,female,,,,,,no,NA
113,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/18/23,5,LT,12/13/23,5,natural,0013,no,3.2,76,female,,,,,,no,NA
45,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/15/23,8,LT,12/11/23,4,natural,0018,no,2.55,74,male,large teste,,,lateral bruising,,no,NA
76,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/16/23,12,VT,12/11/23,5,natural,002A,no,2.46,70,male,,,,,,no,NA
116,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/18/23,9,VT,12/11/23,7,natural,0022,no,4.3,78,female,,,,,,no,NA
120,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/19/23,3,VT,12/13/23,6,natural,0034,no,2.35,67,female,,,,,,no,NA
103,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/18/23,3,VT,12/13/23,5,natural,0037,no,6.13,83,male,,,,,,no,NA
22,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/14/23,9,VT,12/11/23,3,natural,003A,no,3.19,72,female,very gravid,open,none,significant lateral bruising,none,no,NA
91,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/17/23,11,LT,12/11/23,6,natural,0051,no,3.3,76,male,,,,,,no,NA
148,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/21/23,6,VT,12/13/23,8,natural,0056,no,2.37,69,male,,,,,,,
99,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/18/23,11,LT,12/11/23,7,natural,0068,no,2.15,66,male,,,,,,no,NA
